venue_name,venue_id,city_name,n_events,n_artists,first_event,last_event
Private Venue,4bd053e2,Los Angeles,19,6,2020-05-15,2022-11-04
Disneyland,bd62d8a,Anaheim,19,17,2019-08-24,2022-12-31
Magnum's @ Norwegian Jewel,2bd10082,Los Angeles,19,17,2022-10-24,2022-11-07
Green Music Center,5bd4f7c0,Rohnert Park,19,18,2018-08-12,2022-08-26
Camp Mather,13d61915,Tuolumne,19,19,2018-08-30,2018-09-02
Ashkenaz Music & Dance Community Center,53d3a30d,Berkeley,19,8,2018-08-08,2022-09-01
Los Globos Nightclub,63d7ca87,Los Angeles,19,19,2018-08-10,2022-11-05
Downtown,bd63d0e,Los Angeles,19,17,2018-08-09,2020-07-12
The Bourbon Room Hollywood,bd081d2,Los Angeles,19,15,2020-06-27,2022-12-30
Gallo Center for the Arts,63d5622f,Modesto,19,19,2018-11-04,2022-11-13
The Crepe Place,2bd6c44e,Santa Cruz,19,17,2018-08-15,2022-10-26
Feather Falls Casino,23d794ff,Oroville,18,11,2018-08-31,2022-11-14
Rainbow Bar & Grill,bd4c1c2,West Hollywood,18,18,2018-09-02,2022-12-14
Molly Malone's,5bd233c0,Los Angeles,18,18,2018-08-03,2022-12-31
Sierra Nevada Big Room,4bd51fde,Chico,18,16,2018-08-09,2020-02-09
Barker Hangar,33d268b1,Santa Monica,18,18,2018-09-07,2022-12-06
The Locker Room,13d2eded,Garden Grove,18,18,2018-08-25,2022-08-25
Mosswood Park,43d4774b,Oakland,18,17,2022-10-08,2022-10-09
Lake Perris Fairgrounds,13d585ed,Perris,18,18,2018-09-22,2022-09-11
Til-Two Club,73d29a0d,San Diego,18,18,2018-10-06,2022-11-10
Mezzanine,43d6c7f3,San Francisco,18,17,2018-08-05,2019-12-06
B Street Theatre at The Sofia Tsakopoulos Center for the Arts,7bd2ca6c,Sacramento,18,17,2018-08-15,2022-10-13
Silverlake Lounge,73d61eed,Los Angeles,18,17,2018-09-17,2022-11-15
Winstons Beach Club,33d3ac65,San Diego,18,13,2018-09-08,2022-12-09
Don Quixote,2bd0e086,Los Angeles,17,17,2021-12-11,2022-11-19
SLO Brew,23d394f7,San Luis Obispo,17,17,2018-09-05,2022-10-20
California Center for the Arts,4bd5c7b2,Escondido,17,17,2018-08-19,2022-10-18
"DiPiazza's Restaurant, Lounge and Nightclub",6bd39e56,Long Beach,17,15,2018-09-29,2022-11-12
"Grate Room, Terrapin Crossroads",3bd33c64,San Rafael,17,14,2018-11-04,2020-12-31
Libbey Bowl,3bd5308c,Ojai,17,17,2018-08-04,2022-10-06
Rancho Nicasio,5bd73368,Nicasio,17,11,2018-08-05,2022-12-17
Ironstone Amphitheatre,33d65061,Murphys,17,17,2018-08-19,2022-09-16
Los Angeles Memorial Coliseum,3bd6642c,Los Angeles,17,15,2018-09-27,2022-12-10
First Street Pool & Billiard Parlor,13d1cdb9,Los Angeles,17,16,2021-12-10,2022-12-16
Henry Miller Memorial Library,4bd4b7ce,Big Sur,17,16,2018-09-07,2022-10-01
Whistle Stop Bar,33de5c1d,San Diego,17,17,2018-09-13,2022-11-21
Neck of the Woods,33d7483d,San Francisco,17,17,2018-09-02,2022-12-04
Selland Arena,bd63d12,Fresno,17,17,2018-09-07,2022-10-04
Knucklehead Hollywood,3d021af,Los Angeles,16,16,2022-09-09,2022-12-10
Milk Bar,2bd7a852,San Francisco,16,14,2018-08-18,2022-12-09
Chumash Casino,bd64d26,Santa Ynez,16,16,2019-08-30,2022-12-16
Arcata Theatre Lounge,33d7c8c9,Arcata,16,15,2018-10-10,2022-12-07
Hyatt Regency Santa Clara,43d3ab33,Santa Clara,16,15,2018-08-10,2018-08-12
The Show,bd5e526,Rancho Mirage,16,14,2018-09-07,2022-12-16
"",23d67c67,San Diego,16,6,2019-12-28,2022-10-14
Golden Road Brewing,bd211aa,Los Angeles,16,16,2018-09-01,2019-09-01
Amoeba Records,53d6c7e1,San Francisco,16,16,2018-09-08,2022-10-08
The Back Room,63d556f7,Berkeley,16,14,2018-08-26,2022-11-17
Louise M. Davies Symphony Hall,6bd7460e,San Francisco,16,14,2018-08-04,2022-12-29
Private Venue,53d277e5,Chico,16,4,2018-09-07,2020-09-30
Flog Stage,13df8d29,Los Angeles,16,16,2019-11-09,2019-11-10
Gray Area Art & Technology Theater,4bd5bbde,San Francisco,16,16,2018-11-26,2022-10-01
Live House Hollywood,43d24313,Los Angeles,16,16,2019-09-12,2022-08-25
Ruocco Park,3d3cd17,San Diego,16,16,2019-11-23,2022-11-20
AWE Bar,33d040a5,Yucca Valley,16,16,2022-09-30,2022-12-17
Amado's,73d20601,San Francisco,16,13,2019-10-06,2022-11-18
Private Venue,3bd36c80,Venice,16,1,2020-03-23,2021-12-03
Hard Rock Live,7bd01604,Wheatland,16,16,2022-09-22,2022-12-30
Marinship Park,4bd4d76e,Sausalito,15,15,2018-09-01,2019-09-02
The Icehouse,bd3c196,Long Beach,15,15,2019-12-19,2019-12-21
Jerry's Pizza & Pub,13d61155,Bakersfield,15,14,2019-10-05,2022-12-17
Temblor Brewing Company,33d23cf5,Bakersfield,15,13,2018-09-19,2022-12-01
Harvelle's,2bd4a0f2,Santa Monica,15,9,2018-12-07,2022-12-09
Mechanics Bank Arena,73d326b1,Bakersfield,15,15,2020-02-20,2022-11-05
The Great Northern,53d28f3d,San Francisco,15,13,2018-11-14,2022-09-22
Veterans Memorial Building,1bd38d8c,Santa Cruz,15,14,2020-02-22,2022-10-22
Citizens Business Bank Arena,bd62d22,Ontario,15,14,2018-08-10,2018-12-01
Mary Stuart Rogers Theater,3d3992f,Modesto,14,14,2018-08-05,2022-10-23
Tower Theatre for the Performing Arts,bd5e1c6,Fresno,14,14,2018-09-15,2022-12-23
Santa Cruz Beach Boardwalk,5bd66f44,Santa Cruz,14,6,2018-08-03,2019-08-30
Gnaw Stage,1bdf8d28,Los Angeles,14,14,2019-11-09,2019-11-10
Gallagher's Pub Club and Grill,63d57a03,Huntington Beach,14,12,2018-08-21,2020-02-21
The Lost Church,3bd2d864,San Francisco,14,14,2018-09-06,2020-02-21
The Rock - SLO Brew,5bd3ef20,San Luis Obispo,14,14,2019-08-23,2022-10-08
Yaamava' Theater,63d01e37,Highland,14,14,2022-09-03,2022-12-30
5 Star Bar,3d3c54b,Los Angeles,14,13,2018-09-14,2020-02-15
Private Venue,33d2d0ed,West Hollywood,14,6,2018-12-16,2022-10-08
Make Out Room,7bd60294,San Francisco,14,11,2018-08-07,2020-10-09
The Love Song Bar,3bd2d8b0,Los Angeles,14,8,2018-08-06,2021-12-04
SeaLegs Live at the Beach,3d295cb,Huntington Beach,14,14,2018-08-18,2020-11-15
Pershing Square,3d6d91f,Los Angeles,14,13,2018-08-04,2020-08-16
Harvard and Stone,23d48cb3,Los Angeles,14,14,2018-10-26,2022-11-18
Time Nightclub,43d2274f,Costa Mesa,14,13,2018-12-07,2022-11-12
Cafe NELA,6bd4eed2,Los Angeles,14,14,2018-08-03,2019-09-15
Bob Hope Theatre,23d60c03,Stockton,14,14,2018-11-25,2022-12-14
Rotary Amphitheater,23d5cc6b,Fresno,13,13,2018-08-30,2022-09-22
Alvas Showroom,33d394dd,San Pedro,13,11,2019-09-15,2022-12-10
Copley Symphony Hall,43d61f6f,San Diego,13,13,2018-08-22,2020-03-03
Longboard Margarita Bar,33d234f9,Pacifica,13,9,2018-09-02,2022-10-20
The Merrow,bd46dd2,San Diego,13,13,2018-10-11,2021-12-03
Poway Center for the Performing Arts,4bd39bc6,Poway,13,13,2018-10-07,2022-12-04
Coffee Gallery Backstage,63d3aa03,Altadena,13,11,2018-08-21,2022-12-16
LA Waterfront,2bd394d2,San Pedro,13,13,2019-08-30,2019-10-05
Private Event,1bd09d74,Los Angeles,13,13,2020-07-20,2022-11-27
Rabobank Arena,4bd62b7a,Bakersfield,13,13,2018-08-18,2020-03-02
The Garage Bar,23d1f837,Ventura,13,13,2018-08-23,2022-10-22
The Blue Lagoon,23d72c77,Santa Cruz,13,13,2018-08-22,2022-10-15
Fernwood Campground and Resort,bd3a50a,Big Sur,13,9,2018-09-18,2022-09-24
Lancaster Performing Arts Center,6bd29a6e,Lancaster,13,13,2018-09-14,2022-11-18
Joe's Great American Bar & Grill,bd3a5ba,Burbank,13,8,2018-08-18,2019-12-06
The Pour House,53d5ff9d,Oceanside,13,12,2018-10-11,2022-12-08
Adelanto Stadium,73d3aa11,Adelanto,13,13,2018-09-29,2022-08-27
AT&T Park,23d658d7,San Francisco,13,13,2018-08-09,2018-10-24
Private Venue,33d02ce5,Los Angeles,12,10,2019-08-24,2022-10-21
Camp Stage,bdf8d2a,Los Angeles,12,12,2019-11-09,2019-11-10
Sacramento Memorial Auditorium,4bd6c3aa,Sacramento,12,12,2019-09-18,2022-11-13
Mondavi Center for the Performing Arts,3bd27c7c,Davis,12,12,2018-10-07,2022-09-24
Jackson Rancheria Casino Resort,13d39db5,Jackson,12,12,2018-08-15,2020-01-25
Winters Tavern,3bd71008,Pacifica,12,10,2019-10-31,2022-12-05
French's Camp,2bd3a046,Garberville,12,12,2018-08-03,2018-08-05
Private Venue,bd315e2,Pioneertown,12,1,2020-04-02,2020-10-21
Herbst Theatre,73d6c2a1,San Francisco,12,10,2018-10-25,2022-10-01
El Rio,1bd67564,San Francisco,12,9,2018-10-02,2020-02-13
Private Venue,3d0f923,San Francisco,12,9,2019-10-07,2021-12-18
Terrace Theater,1bd27164,Long Beach,12,11,2018-08-25,2022-11-13
Thunder Valley Outdoor Amphitheater,3bd07070,Lincoln,12,12,2018-09-22,2022-09-04
HopMonk Tavern Sonoma,13d39145,Sonoma,12,2,2018-08-25,2020-09-25
"Walt Disney Concert Hall, REDCAT Theater",6bd3f6aa,Los Angeles,12,12,2018-10-12,2022-10-22
Colorado Boulevard,13d1bd6d,Eagle Rock,12,12,2018-10-06,2018-10-06
Baldwin Hills Scenic Overlook,1bd07d64,Culver City,12,12,2019-10-13,2019-10-13
The Write Off Room,4bd36706,Los Angeles,12,5,2018-08-11,2020-03-07
Royce Hall,3bd26c38,Los Angeles,12,12,2018-10-04,2022-11-12
Blue Note Napa at Charles Krug Winery,3d01107,Saint Helena,12,10,2022-08-26,2022-09-24
Hemlock Tavern,1bd6d50c,San Francisco,12,11,2018-08-09,2018-10-04
Brava Theater,3d7797f,San Francisco,12,12,2018-09-07,2020-01-18
Younes and Soraya Nazarian Center For The Performing Arts,73d39e49,Northridge,12,10,2018-10-17,2022-12-17
The Factory,2bd21c06,Los Angeles,12,11,2018-08-11,2020-02-22
Orange County Fairgrounds,2bd548b6,Costa Mesa,11,11,2018-08-02,2022-10-29
World Records,1bd23550,Bakersfield,11,10,2018-10-26,2022-12-03
Rec Center,53d207b9,Los Angeles,11,10,2018-08-29,2020-03-15
Public Works,43d64357,San Francisco,11,11,2018-09-23,2021-12-13
Castoro Cellars,3bd65860,Templeton,11,11,2019-09-14,2022-09-17
Stages,bd09d32,Santa Ana,11,11,2018-09-23,2022-12-10
Sunset Center,1bd71d4c,Carmel-by-the-Sea,11,10,2018-08-24,2022-09-22
Angel Stadium,1bd639ec,Anaheim,11,9,2018-08-19,2019-09-14
"Smothers Theatre, Pepperdine University",1bd29594,Malibu,11,10,2018-09-14,2020-03-06
Valley View Casino Center,7bd7e670,San Diego,11,11,2018-08-25,2018-12-01
Playback Studios,63d21ab3,San Jose,11,10,2018-08-24,2022-12-15
Leal Ranch,4bd3fb36,Eastvale,11,11,2019-08-17,2019-08-18
Zellerbach Hall,73d4be7d,Berkeley,11,11,2018-10-05,2022-11-12
Empire Grand Oasis,7bd33ac8,Thermal,11,11,2020-01-18,2020-01-19
Old Ironsides,53d7f355,Sacramento,11,8,2018-08-11,2022-12-09
Bootleg Bar,3bd7e01c,Los Angeles,11,11,2018-08-16,2019-11-22
Broadway Pier,6bd272e2,San Diego,11,11,2019-11-22,2022-10-29
The Paramount,bd3d1be,Los Angeles,11,11,2019-11-13,2022-11-25
Temple Nightclub,7bd7fa80,San Francisco,11,10,2018-09-16,2022-12-31
The Miniplex,1bd2b174,Arcata,11,10,2018-08-10,2022-11-11
Levi's Stadium,63d4564f,Santa Clara,11,10,2018-09-29,2022-10-09
Carriage House Theatre,6bd39602,Saratoga,11,11,2018-10-17,2022-09-27
Tioga-Sequoia Brewing Company,bd39d12,Fresno,11,11,2018-10-26,2022-11-05
Pier 23 Cafe Restaurant & Bar,3d0f13b,San Francisco,11,1,2018-09-29,2020-02-29
1933 Event Center,3bd56460,Bakersfield,11,10,2018-10-20,2022-11-12
California State University San Marcos,3d219ff,San Marcos,11,10,2018-08-18,2020-12-20
Event Center Arena,63d3961f,San Jose,11,11,2018-09-20,2020-02-13
The Cinema Bar,4bd3a7ea,Culver City,10,8,2018-10-05,2020-02-07
Highland Park Bowl,6bd202b2,Los Angeles,10,10,2018-10-06,2022-09-09
Avila Beach Golf Resort,3bd65864,Avila Beach,10,10,2018-08-11,2019-09-20
Alameda County Fairgrounds,63d54263,Pleasanton,10,7,2018-09-01,2022-09-17
SOMO Village Event Center,63d5c273,Rohnert Park,10,9,2018-09-07,2019-09-14
"Bar, Terrapin Crossroads",63d332b7,San Rafael,10,8,2019-09-23,2020-02-26
Private Venue,63d3be73,Sacramento,10,7,2019-12-01,2020-11-26
Spaghettini,7bd28ebc,Seal Beach,10,5,2018-09-21,2022-11-28
Lagunitas Brewing Company,33d76c9d,Petaluma,10,8,2018-10-02,2020-07-09
Visalia Fox Theatre,53d3939d,Visalia,10,9,2018-10-28,2022-10-07
20th St Block Party,3d461e7,San Francisco,10,10,2018-08-18,2022-10-15
1756 Naud Street,6bd1b62e,Los Angeles,10,10,2018-10-13,2021-12-03
Corbin Bowl,4bd24b5e,Los Angeles,10,9,2018-11-25,2022-12-23
Que Sera,53d79fed,Long Beach,10,10,2018-10-07,2022-09-29
Oracle Park,7bd3aa04,San Francisco,10,10,2019-08-30,2022-09-21
Light Rail Studios,2bd50c1e,San Francisco,10,10,2019-11-12,2020-09-27
Barbara Morrison Performing Arts Center,7bd0d22c,Los Angeles,10,6,2021-12-17,2021-12-28
Characters,23d738b7,Pomona,10,9,2018-08-12,2022-11-26
The Center for the Arts,3d5896b,Grass Valley,10,10,2019-12-08,2022-11-30
The Sardine,1bd08920,San Pedro,10,10,2020-02-29,2022-12-09
House of Rock,2bd534e2,Santa Rosa,10,7,2018-08-11,2020-10-18
Fingerprints Music,6bd39e12,Long Beach,10,10,2018-10-25,2022-11-11
Bing Concert Hall,13d4ed09,Stanford,10,9,2018-09-21,2020-02-07
The Rady Shell at Jacobs Park,1bd061e4,San Diego,10,10,2022-08-31,2022-11-04
Rufus Wainwright's House,2bd318e2,Los Angeles,10,1,2020-03-21,2020-11-13
Black Oak Casino,23d454f3,Tuolumne,10,9,2018-08-10,2022-10-29
Santa Ana Civic Center,73d0beb1,Santa Ana,10,10,2019-11-23,2022-10-08
Jerry Garcia Amphitheatre,4bd397ea,San Francisco,10,9,2018-08-05,2022-10-08
The Goldfish,73d02221,Los Angeles,10,9,2022-09-16,2022-11-30
Fox Studios,73d6d641,Los Angeles,10,10,2020-12-31,2020-12-31
Tulare County Fairgrounds,43d4abd7,Tulare,9,9,2018-09-12,2019-09-15
TRiP Nightclub,6bd77e1e,Santa Monica,9,8,2018-12-26,2022-11-29
The Broad,2bd5205a,Los Angeles,9,9,2018-09-29,2022-09-24
Noe Valley Farmer's Market,7bd2a2e0,San Francisco,9,1,2018-08-11,2020-02-01
Club 80's Bar and Grill,33d3a4a9,Corona,9,7,2019-09-21,2021-12-11
James Corden's Carpool Karaoke,7bd502dc,Los Angeles,9,9,2018-08-15,2020-03-12
Hollywood Improv,13d7e17d,Los Angeles,9,8,2019-09-11,2022-11-01
Velvet Jones,73d61281,Santa Barbara,9,9,2018-10-07,2020-02-17
San Diego Civic Theatre,5bd0c780,San Diego,9,8,2018-08-08,2022-12-11
Ruth Finley Person Theatre,4bd4fb0e,Santa Rosa,9,9,2018-09-13,2022-09-09
Project Barley Brewery,73d08a05,Lomita,9,7,2020-01-25,2022-10-18
The Marsh,3d769e3,Berkeley,9,1,2019-09-25,2022-12-14
10th and Howard Street,23d3e423,San Francisco,9,9,2018-09-30,2019-10-20
Cellar Door,43d39393,Visalia,9,9,2018-08-11,2022-10-08
Graton Resort & Casino,73d39a9d,Rohnert Park,9,8,2018-08-17,2022-11-28
Sidney B. Cushing Memorial Amphitheatre,5bd39fc8,Marin County,9,9,2018-09-08,2022-10-22
Santa Clarita Performing Arts Center at College of the Canyons,73d592a9,Santa Clarita,9,9,2018-08-19,2022-09-17
Rampart Skate Park,4bd21bfa,Arcata,9,9,2018-08-25,2019-12-01
Art Boutiki Music Hall,63d39677,San Jose,9,7,2018-09-14,2021-12-04
Biko Garage,23d498eb,Isla Vista,9,9,2019-10-08,2019-11-11
The Honey Hive,33d474a1,San Francisco,9,9,2018-08-07,2020-03-10
Gaslamp,3d295bb,Long Beach,9,8,2018-10-21,2021-12-11
Tackle Box Bar & Grill,43d3a34f,Chico,9,8,2018-08-10,2022-10-20
Pico Rivera Sports Arena,6bd45e1a,Pico Rivera,9,9,2018-10-20,2019-11-09
The Sun Rose,4bd03326,West Hollywood,9,2,2022-10-01,2022-12-16
Long Beach Arena,bd63982,Long Beach,9,9,2018-09-15,2022-12-15
Mitchell Park,1bd58950,Palo Alto,9,9,2019-09-30,2021-12-15
Nugget Campground,1bd155d8,Placerville,9,6,2018-09-28,2019-09-29
Jam In The Van,6bd56e26,Los Angeles,9,9,2018-10-06,2022-11-11
Belden Town Resort and Lodge,1bd3a528,Belden,9,2,2018-08-16,2019-08-18
Octopus Literary Salon,5bd54bac,Oakland,9,8,2018-08-04,2018-12-14
Pasadena Civic Auditorium,2bd6d002,Pasadena,9,9,2019-08-22,2020-03-05
Musco Center for the Arts,2bd3981e,Orange,9,9,2019-10-12,2020-02-27
The Holding Company,bd511fe,San Diego,9,8,2019-08-31,2022-10-26
First Church of the Buzzard,1bd7994c,Oakland,9,9,2018-08-31,2018-09-01
Mozambique,bd4e926,Laguna Beach,9,8,2018-09-29,2020-01-18
Facebook Headquarters,73d4e27d,Menlo Park,9,8,2019-09-21,2019-10-19
Spinnaker Lounge @ Norwegian Jewel,2bd10086,Los Angeles,9,9,2022-11-03,2022-11-07
Lodi Grape Festival Grounds,5bd01348,Lodi,9,9,2018-09-13,2022-10-15
Laxson Auditorium,73d79685,Chico,9,9,2018-11-02,2022-12-13
"The State Theatre, DTLA",1bd39db0,Los Angeles,9,9,2018-11-10,2018-11-10
The Berrics,6bd55646,Los Angeles,9,9,2020-08-16,2020-08-16
Boom Boom Room,3bd4600c,San Francisco,9,6,2018-10-04,2022-09-16
Wente Vineyards,73d63a89,Livermore,9,9,2018-08-23,2019-10-13
Segerstrom Concert Hall,33d4e4f1,Costa Mesa,9,8,2018-12-29,2022-12-20
El Presidio de Santa Bárbara State Historic Park,23d2240b,Santa Barbara,8,1,2018-09-14,2019-12-01
Santa Fe Springs Swap Meet,53d4d721,Santa Fe Springs,8,4,2018-08-24,2022-10-01
Audio SF,4bd2e32a,San Francisco,8,8,2018-10-26,2022-12-31
The Lot Studios,3bd708e4,Los Angeles,8,8,2020-01-23,2020-01-23
San Manuel Casino,33d2244d,Highland,8,8,2018-08-24,2019-12-13
Globe Theatre,53d27b31,Los Angeles,8,8,2018-08-13,2020-03-06
Old Princeton Landing,13d20519,Half Moon Bay,8,6,2018-09-28,2022-10-30
Toot's Tavern,53d3a7f5,Crockett,8,6,2018-12-28,2022-12-16
John Van Duzer Theatre,1bd75960,Arcata,8,8,2019-09-03,2022-11-10
Lesher Center for the Arts,3bd7c444,Walnut Creek,8,8,2019-09-27,2020-03-07
Humbrews,4bd72f8a,Arcata,8,8,2018-09-18,2022-10-12
The OffBeat,4bd3bf02,Los Angeles,8,7,2019-11-02,2022-10-16
Yost Theater,4bd3977a,Santa Ana,8,8,2019-09-13,2022-10-28
Peace and Justice House,7bd33228,San Jose,8,7,2018-12-09,2019-10-26
M3 Live Event Center,1bd5e178,Anaheim,8,8,2020-01-17,2020-02-28
Embarcadero Marina Park South,23d6140b,San Diego,8,8,2018-08-15,2019-08-25
San Jose McEnery Convention Center,7bd39644,San Jose,8,8,2018-10-11,2020-03-01
Dynasty Typewriter At The Hayworth,3d2d197,Los Angeles,8,8,2019-08-29,2022-09-23
Alex Theatre,7bd7f6c0,Glendale,8,6,2019-10-03,2022-11-05
Yaamava' Resort & Casino,63d0621f,Highland,8,7,2022-08-28,2022-12-31
Fireside Lounge,3bd2049c,Alameda,8,5,2018-11-10,2022-12-23
The Cathedral Sanctuary at Immanuel Presbyterian Church,63d4ee4b,Los Angeles,8,6,2018-11-02,2018-12-05
BAL Theatre,33d39441,San Leandro,8,8,2019-10-05,2022-12-03
SDCCU Stadium,1bd2a19c,San Diego,8,8,2018-09-27,2018-10-06
Manchester Banquet Hall,23d030ef,Los Angeles,8,6,2021-12-30,2021-12-31
New Wave Restaurant & Bar,3d3a52f,Bellflower,8,5,2018-09-15,2020-02-21
Sapphire Palace at Blue Lake Casino,3d2457f,Blue Lake,8,4,2019-11-15,2022-12-31
Union Nightclub,bd5cd2a,Los Angeles,8,8,2018-09-01,2018-11-30
Petie's Place,3bd5e01c,Los Angeles,8,8,2019-08-17,2019-11-15
The Karman Bar,3bd5e414,Laguna Niguel,8,8,2018-08-03,2019-08-30
Levitt Pavilion,1bd6d1c0,Los Angeles,8,8,2018-08-02,2019-08-18
Woodbridge Crossing,53d01341,Woodbridge,8,2,2018-08-11,2022-09-24
Powerhouse Pub,4bd183ae,Folsom,8,7,2018-08-11,2022-12-07
The Tower Bar,3bde5c1c,San Diego,8,8,2018-09-15,2022-11-12
Lagunitas Amphitheater,43d0f737,Petaluma,8,7,2018-08-28,2022-09-20
Ukiah Brewing Company,1bd70180,Ukiah,8,4,2018-11-03,2020-02-24
"",33d67c19,San Jose,8,4,2018-08-05,2020-01-19
MeloMelo Open Mic,4bd06bd6,Santa Cruz,8,1,2022-09-19,2022-11-28
Sebastiani Theatre,5bd3cb04,Sonoma,8,8,2019-12-06,2022-09-30
Madera County Fairgrounds,43d29b83,Madera,8,8,2018-09-06,2022-09-10
3 Disciples Brewing,63d3eec7,Santa Rosa,8,7,2019-09-13,2022-12-03
Wild Honey Eagle Rock Backyard Amphitheater,13d29df1,Los Angeles,8,8,2018-08-25,2019-09-29
Tales from the Tavern,6bd7a23a,Santa Ynez,8,8,2018-10-24,2022-10-12
Viejas Casino & Resort,7bd29ae4,Alpine,8,8,2018-08-10,2022-11-26
Sound Nightclub,43d4f383,Los Angeles,8,8,2018-11-06,2022-10-15
Highland Park Ebell Club,6bd552d2,Los Angeles,8,8,2018-08-02,2022-11-10
The Redwoods,5bd35334,Mill Valley,8,1,2020-07-15,2020-12-22
Hilltop Tavern and Inn,73d206b9,Apple Valley,8,6,2018-10-05,2022-10-21
The Palms Playhouse,43d3a78b,Winters,8,7,2018-10-26,2020-01-19
Redding Civic Auditorium,63d71e53,Redding,8,8,2018-08-19,2022-11-05
Capitol Records,7bd21624,Los Angeles,7,7,2018-08-30,2019-12-09
Bar Sinister at Boardner's,2bd66002,Los Angeles,7,6,2018-10-27,2022-12-17
The Granada Theatre,33d38c55,Santa Barbara,7,7,2018-09-21,2022-12-01
All Star Lanes,3d63167,Eagle Rock,7,7,2019-10-04,2020-01-04
Oxbow RiverStage,53d0f305,Napa,7,5,2022-08-26,2022-09-17
HD Radio Sound Space at KROQ,73d56a3d,Los Angeles,7,7,2018-08-14,2020-03-05
Sutter Street,13d7ed69,Folsom,7,7,2018-09-22,2019-09-21
Blue Lake Casino,bd77de2,Blue Lake,7,7,2018-09-14,2021-12-11
Xalos Nightclub & Event Center,1bd1817c,Anaheim,7,6,2019-10-10,2022-10-13
Arkley Center for the Performing Arts,6bd3aa9e,Eureka,7,7,2018-09-21,2019-10-22
Alex Madonna Expo Center,4bd7dbde,San Luis Obispo,7,7,2019-10-03,2022-10-20
Biscuits and Blues,3d64973,San Francisco,7,6,2018-08-04,2018-12-22
Sydney Goldstein Theater,4bd397da,San Francisco,7,7,2019-09-20,2022-11-28
Mare Island Waterfront,7bd0f2c0,Vallejo,7,7,2022-09-17,2022-09-17
Aldrich Park,3d62d8f,Irvine,7,7,2019-09-24,2022-09-20
Capitol Mall,5bd42bcc,Sacramento,7,7,2018-09-29,2022-09-24
Roaring Camp,63d0968b,Felton,7,6,2022-09-17,2022-09-18
Amnesia,5bd6cb80,San Francisco,7,6,2018-08-17,2019-12-07
Thee Stork Club,5bd11fb4,Oakland,7,5,2022-09-17,2022-11-09
Bar Lubitsch,1bd71574,West Hollywood,7,7,2018-10-08,2021-12-02
Campbell Hall,3d171c3,University of California Santa Barbara Campus,7,6,2018-11-28,2022-11-29
Budweiser Pavilion and Stage,6bd20eca,Bakersfield,7,7,2018-09-19,2022-09-22
The House Of Machines,bd3b1e2,Los Angeles,7,7,2019-09-25,2020-01-16
Urbani Cellar,4bd073da,Santa Cruz,7,6,2020-03-12,2022-11-26
Ziings Bistro & Bar,3bd08cd8,Fullerton,7,7,2019-09-06,2019-10-30
Old Towne Pub,3d6757b,Pasadena,7,7,2018-12-15,2022-09-24
Herb Alpert's Vibrato Grill Jazz,33d38ca9,Los Angeles,7,7,2019-11-10,2022-11-23
The Vermont Hollywood,7bd0ee34,Los Angeles,7,7,2022-09-09,2022-12-03
Bandcamp Record Store and Performance Space,bd3ad96,Oakland,7,7,2019-09-17,2022-11-11
Riverside County Fairgrounds,7bd5862c,Indio,7,7,2020-02-15,2022-11-12
Elks Unocal Event Center,7bd4ae10,Santa Maria,7,7,2022-10-22,2022-10-22
Union,43d5db83,Los Angeles,7,7,2018-09-25,2018-11-30
Private Venue,3d3b5eb,Beverly Hills,7,4,2019-12-14,2021-12-16
Gold Country Casino & Hotel,3bd39800,Oroville,6,5,2018-09-22,2022-12-31
Blue Beach Studio,bd15922,Redondo Beach,6,6,2022-09-09,2022-12-30
Wasteland Weekend,53d0ef25,North Edwards,6,4,2018-09-26,2022-09-29
Robinson Rancheria Resort & Casino,5bd44788,Nice,6,1,2018-10-05,2020-02-15
Bricks Restaurant & Sports Bar,4bd3bf7a,Maywood,6,6,2018-09-08,2022-12-30
Universal Studios Hollywood,2bd39086,Universal City,6,4,2018-10-10,2022-12-08
Del Mar Racetrack,bd61962,Del Mar,6,6,2018-08-17,2019-08-16
Acrisure Arena,33d1acd9,Thousand Palms,6,6,2022-12-14,2022-12-31
Den of Sin,5bd2e76c,Sacramento,6,6,2019-10-25,2022-12-09
Unfair Oaks,33d28831,Pasadena,6,5,2020-02-28,2022-12-16
Balboa Theater,4bd28fda,San Francisco,6,5,2018-08-06,2021-12-12
Mudpuddle Shop,bd0d17e,Fremont,6,1,2020-03-27,2021-12-11
Rehearse America,23d34c5f,Oakland,6,1,2020-05-06,2020-12-24
SubRosa Community Space,4bd3b3e2,Santa Cruz,6,5,2018-08-22,2019-09-25
Te Mana Cafe,63d33a03,San Diego,6,1,2018-12-08,2020-03-01
Solano County Fairgrounds,1bd29d68,Vallejo,6,5,2020-09-26,2020-11-14
Odd Fellows Hall,1bd259c4,Auburn,6,4,2018-10-19,2022-12-17
Irvine Barclay Theatre,2bd770fe,Irvine,6,6,2018-12-07,2022-10-08
The Miracle Theater,63d3f633,Inglewood,6,4,2019-08-24,2022-08-27
Hilton Anaheim,43d4e743,Anaheim,6,6,2020-01-17,2020-01-18
Ace Hotel & Swim Club,5bd5d7b0,Palm Springs,6,6,2018-09-21,2020-01-15
Improv Comedy Club,73d2c2f1,Irvine,6,5,2019-09-02,2022-11-21
Private Venue,5bd37380,Riverside,6,2,2020-03-28,2020-12-31
Stafford Lake County Park,23d3986f,Novato,6,6,2018-09-23,2018-09-23
